;start;end;n;arima;mean;p;d;q;bp;bd;bq;m7;q;q-m2;mean;;mse;;nout;kurtosis;;;skewness;;;lb2;;;seas-sa-qs;;seas-sa-qs;seas-sa-f;;seas-i-qs;;seas-i-qs;seas-i-f;;td-sa-last;;td-i-last;;lb;;;dh;;;doornikhansen;;
RF1072;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,495657492;1,368587224;1,299962289;;;;;3;2,663928;0,4324;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,154262;0,471;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;24,224215;0,3356;Chi2 with 22.0 degrees of freedom ;0;1;0;0,227803;0,9953;0;1;0;0,379147;0,9622;0,115117;0,9945;0,118711;0,994;19,044081;0,6426;Chi2 with 22.0 degrees of freedom ;;;;0,953647;0,6208;Chi2 with 2.0 degrees of freedom 
RF1073;2012-01-01;2023-12-01;144;;;0;0;2;0;1;1;0,362886459;0,819672818;0,853723773;;;;;3;2,462758;0,2077;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,087864;0,6803;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;14,959879;0,825;Chi2 with 21.0 degrees of freedom ;0;1;0;0,521961;0,8857;0;1;0;0,567188;0,8524;1,124368;0,3514;1,295748;0,2632;17,219967;0,6977;Chi2 with 21.0 degrees of freedom ;;;;1,471784;0,4791;Chi2 with 2.0 degrees of freedom 
RF1081;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,352061254;0,963598343;0,978076997;;;;;0;3,913965;0,0327;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,386553;0,0709;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;27,389176;0,1968;Chi2 with 22.0 degrees of freedom ;0;1;0;0,488061;0,908;0;1;0;0,59299;0,8318;2,759715;0,0146;3,123751;0,0067;19,811651;0,5948;Chi2 with 22.0 degrees of freedom ;;;;6,274565;0,0434;Chi2 with 2.0 degrees of freedom 
RF1082;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,276732334;0,820915562;0,869891086;;;;;7;3,265503;0,5351;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,401413;0,0607;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;17,572631;0,731;Chi2 with 22.0 degrees of freedom ;0;1;0;0,189059;0,998;0;1;0;0,430081;0,9402;0,974889;0,4447;0,99275;0,4328;14,114268;0,8974;Chi2 with 22.0 degrees of freedom ;;;;3,655514;0,1608;Chi2 with 2.0 degrees of freedom 
RF1083;2012-01-01;2023-12-01;144;;;0;1;1;1;0;0;0,937845758;0,775498651;0,849560917;;;;;2;5,388663;0;Normal with Mean = 3.0 and Stdev = 0.40967324519935133;-0,404024;0,0486;Normal with Mean = 0.0 and Stdev = 0.20483662259967567;10,296742;0,9834;Chi2 with 22.0 degrees of freedom ;8,498328;0,0143;8,498328;0,210908;0,9967;3,241484;0,1978;3,241484;0,293047;0,9863;0,169157;0,9846;0,231529;0,9657;16,175202;0,8071;Chi2 with 22.0 degrees of freedom ;;;;23,861669;0;Chi2 with 2.0 degrees of freedom 
RF1085;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,212445999;0,683880759;0,736857472;;;;;3;3,850921;0,046;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,01536;0,9426;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;20,741295;0,5368;Chi2 with 22.0 degrees of freedom ;0;1;0;0,559423;0,8584;0;1;0;0,529371;0,8805;0,588572;0,739;0,61179;0,7206;8,080357;0,9969;Chi2 with 22.0 degrees of freedom ;;;;5,982615;0,0502;Chi2 with 2.0 degrees of freedom 
RF1086;2012-01-01;2023-12-01;144;;;1;0;1;0;1;1;0,5592011;0,724508006;0,730823067;;;;;1;3,006135;0,9885;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;0,091167;0,6689;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;29,233142;0,1085;Chi2 with 21.0 degrees of freedom ;0;1;0;0,377915;0,9626;0;1;0;0,393751;0,9565;1,00346;0,4257;1,094793;0,3687;11,636651;0,9489;Chi2 with 21.0 degrees of freedom ;;;;0,393265;0,8215;Chi2 with 2.0 degrees of freedom 
RF1089;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,699254761;0,810589696;0,876462626;;;;;2;2,969078;0,9422;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,006135;0,977;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;18,043198;0,7034;Chi2 with 22.0 degrees of freedom ;0;1;0;0,302901;0,9843;0;1;0;0,37726;0,9629;0,804053;0,5684;0,461512;0,8358;19,992577;0,5835;Chi2 with 22.0 degrees of freedom ;;;;0,158306;0,9239;Chi2 with 2.0 degrees of freedom 
RF1091;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,22146089;0,560602029;0,575279169;;;;;4;2,927011;0,8646;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,242277;0,2576;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;29,393655;0,134;Chi2 with 22.0 degrees of freedom ;0;1;0;0,241739;0,9939;0;1;0;0,270558;0,9901;1,510095;0,1793;1,773504;0,109;22,446865;0,4335;Chi2 with 22.0 degrees of freedom ;;;;1,393544;0,4982;Chi2 with 2.0 degrees of freedom 
RF1092;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,365174971;0,593704506;0,614811951;;;;;3;2,959338;0,9243;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,131608;0,5386;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;24,243539;0,3346;Chi2 with 22.0 degrees of freedom ;0;1;0;0,108694;0,9999;0;1;0;0,110206;0,9998;0,592077;0,7362;0,604449;0,7264;18,211501;0,6934;Chi2 with 22.0 degrees of freedom ;;;;0,480168;0,7866;Chi2 with 2.0 degrees of freedom 
