;start;end;n;arima;mean;p;d;q;bp;bd;bq;m7;q;q-m2;mean;;mse;;nout;kurtosis;;;skewness;;;lb2;;;seas-sa-qs;;seas-sa-qs;seas-sa-f;;seas-i-qs;;seas-i-qs;seas-i-f;;td-sa-last;;td-i-last;;lb;;;dh;;;doornikhansen;;
RF1073;2012-01-01;2023-12-01;144;;;2;0;1;0;1;1;0,369878416;1,133552149;1,168750445;;;;;3;2,309017;0,1051;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,039654;0,8525;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;24,130137;0,2368;Chi2 with 20.0 degrees of freedom ;0;1;0;0,607836;0,8195;0;1;0;0,584116;0,8391;1,083436;0,3755;0,958892;0,4556;11,712186;0,9256;Chi2 with 20.0 degrees of freedom ;;;;2,602505;0,2722;Chi2 with 2.0 degrees of freedom 
RF1081;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,351220708;0,985586112;1,002576003;;;;;1;3,893219;0,0369;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,384006;0,0728;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;27,253942;0,2017;Chi2 with 22.0 degrees of freedom ;0;1;0;0,486794;0,9087;0;1;0;0,596998;0,8285;2,767822;0,0143;3,144948;0,0064;19,651138;0,6049;Chi2 with 22.0 degrees of freedom ;;;;6,121493;0,0469;Chi2 with 2.0 degrees of freedom 
RF1082;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,276732334;0,820915562;0,869891086;;;;;7;3,265503;0,5351;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,401413;0,0607;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;17,572631;0,731;Chi2 with 22.0 degrees of freedom ;0;1;0;0,189059;0,998;0;1;0;0,430081;0,9402;0,974889;0,4447;0,99275;0,4328;14,114268;0,8974;Chi2 with 22.0 degrees of freedom ;;;;3,655514;0,1608;Chi2 with 2.0 degrees of freedom 
RF1083;2012-01-01;2023-12-01;144;;;1;0;1;1;0;1;1,27834713;0,904966952;0,99124482;;;;;1;7,673116;0;Normal with Mean = 3.0 and Stdev = 0.408248290463863;0,637631;0,0018;Normal with Mean = 0.0 and Stdev = 0.2041241452319315;11,667566;0,927;Chi2 with 20.0 degrees of freedom ;14,249216;0,0008;14,249216;0,189524;0,9979;5,184918;0,0748;5,184918;0,262575;0,9913;0,108529;0,9953;0,14457;0,9898;26,750248;0,1424;Chi2 with 20.0 degrees of freedom ;;;;53,914251;0;Chi2 with 2.0 degrees of freedom 
RF1085;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,225661198;0,689031715;0,737438526;;;;;2;3,714928;0,0936;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,129041;0,545;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;20,170262;0,5724;Chi2 with 22.0 degrees of freedom ;0;1;0;0,42242;0,9439;0;1;0;0,452659;0,9285;0,532215;0,783;0,549804;0,7694;11,588084;0,9653;Chi2 with 22.0 degrees of freedom ;;;;4,647613;0,0979;Chi2 with 2.0 degrees of freedom 
RF1086;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,562028836;0,702418386;0,711010118;;;;;1;3,068528;0,8728;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,177263;0,4075;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;27,370424;0,1975;Chi2 with 22.0 degrees of freedom ;0;1;0;0,374403;0,9639;0;1;0;0,365279;0,9671;1,091088;0,3709;1,15742;0,3329;14,38179;0,8874;Chi2 with 22.0 degrees of freedom ;;;;0,948711;0,6223;Chi2 with 2.0 degrees of freedom 
RF1089;2012-01-01;2023-12-01;144;;;1;0;0;0;1;1;0,699254761;0,810589696;0,876462626;;;;;2;2,969078;0,9422;Normal with Mean = 3.0 and Stdev = 0.4264014327112209;-0,006135;0,977;Normal with Mean = 0.0 and Stdev = 0.21320071635561044;18,043198;0,7034;Chi2 with 22.0 degrees of freedom ;0;1;0;0,302901;0,9843;0;1;0;0,37726;0,9629;0,804053;0,5684;0,461512;0,8358;19,992577;0,5835;Chi2 with 22.0 degrees of freedom ;;;;0,158306;0,9239;Chi2 with 2.0 degrees of freedom 
RF1091;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,219444244;0,629073938;0,633323115;;;;;3;3,085397;0,8419;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,261612;0,2216;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;20,947395;0,524;Chi2 with 22.0 degrees of freedom ;0;1;0;0,280384;0,9886;0;1;0;0,320934;0,9801;1,991977;0,071;2,32966;0,0358;24,127315;0,3406;Chi2 with 22.0 degrees of freedom ;;;;1,66494;0,435;Chi2 with 2.0 degrees of freedom 
RF1092;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,365174971;0,593704506;0,614811952;;;;;3;2,959338;0,9243;Normal with Mean = 3.0 and Stdev = 0.428025825003853;0,131608;0,5386;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;24,243538;0,3346;Chi2 with 22.0 degrees of freedom ;0;1;0;0,108694;0,9999;0;1;0;0,110206;0,9998;0,592077;0,7362;0,604449;0,7264;18,211501;0,6934;Chi2 with 22.0 degrees of freedom ;;;;0,480168;0,7866;Chi2 with 2.0 degrees of freedom 
RF1101;2012-01-01;2023-12-01;144;;;0;1;1;0;1;1;0,295451417;0,798540505;0,755863542;;;;;3;2,918681;0,8493;Normal with Mean = 3.0 and Stdev = 0.428025825003853;-0,365703;0,0875;Normal with Mean = 0.0 and Stdev = 0.2140129125019265;25,551917;0,2714;Chi2 with 22.0 degrees of freedom ;0;1;0;0,476393;0,9151;0;1;0;0,363228;0,9678;0,969039;0,4487;1,070445;0,3833;30,269795;0,1121;Chi2 with 22.0 degrees of freedom ;;;;3,477616;0,1757;Chi2 with 2.0 degrees of freedom 
